Unnamed: 0,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,Supertrend Values,Supertrend Signal
272,Ok,2023-10-03 10:57:00,1696310820,19517.4,19517.4,19514.05,19514.65,0.0,0,0,0,0,19507.259670930624,1
271,Ok,2023-10-03 10:58:00,1696310880,19514.25,19515.05,19510.1,19510.45,0.0,0,0,0,0,19507.259670930624,1
270,Ok,2023-10-03 10:59:00,1696310940,19510.05,19513.3,19509.4,19511.3,0.0,0,0,0,0,19507.259670930624,1
269,Ok,2023-10-03 11:00:00,1696311000,19511.6,19515.1,19510.7,19510.7,0.0,0,0,0,0,19507.259670930624,1
268,Ok,2023-10-03 11:01:00,1696311060,19511.0,19511.95,19509.25,19509.45,0.0,0,0,0,0,19507.259670930624,1
267,Ok,2023-10-03 11:02:00,1696311120,19508.95,19513.05,19508.95,19512.55,0.0,0,0,0,0,19507.259670930624,1
266,Ok,2023-10-03 11:03:00,1696311180,19512.6,19512.6,19509.05,19509.6,0.0,0,0,0,0,19507.259670930624,1
265,Ok,2023-10-03 11:04:00,1696311240,19509.85,19509.85,19505.75,19506.35,0.0,0,0,0,0,19515.51992454051,-1
264,Ok,2023-10-03 11:05:00,1696311300,19506.0,19509.8,19504.75,19509.2,0.0,0,0,0,0,19514.98799255099,-1
263,Ok,2023-10-03 11:06:00,1696311360,19508.65,19512.75,19508.55,19511.65,0.0,0,0,0,0,19514.98799255099,-1
262,Ok,2023-10-03 11:07:00,1696311420,19511.35,19515.25,19510.25,19513.35,0.0,0,0,0,0,19514.98799255099,-1
261,Ok,2023-10-03 11:08:00,1696311480,19513.45,19516.2,19508.5,19509.55,0.0,0,0,0,0,19514.98799255099,-1
260,Ok,2023-10-03 11:09:00,1696311540,19510.0,19512.8,19509.6,19511.65,0.0,0,0,0,0,19514.98799255099,-1
259,Ok,2023-10-03 11:10:00,1696311600,19511.7,19512.2,19510.2,19511.5,0.0,0,0,0,0,19514.98799255099,-1
258,Ok,2023-10-03 11:11:00,1696311660,19511.95,19512.35,19509.0,19510.25,0.0,0,0,0,0,19514.98799255099,-1
